POA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
POA3719,62,22,22,25,22,5,25,18,0,207
POA3720,65,46,50,40,31,32,21,47,6,335
POA3722,450,444,496,339,273,271,154,267,49,2739
POA3723,333,262,197,203,140,116,87,185,30,1554
POA3725,84,35,37,33,27,16,26,40,4,304
POA3726,68,20,17,14,12,9,12,21,0,176
POA3727,34,15,17,15,8,8,7,10,3,120
POA3728,56,32,31,38,17,29,46,49,6,301
POA3730,565,598,670,526,427,357,199,530,66,3946
POA3732,84,40,39,29,21,13,16,45,4,301
POA3733,28,22,14,16,5,11,3,18,0,117
POA3735,92,50,38,34,28,20,34,54,6,364
POA3737,312,308,311,261,203,191,174,289,40,2093
POA3738,22,11,13,16,12,6,17,14,0,108
POA3739,33,13,10,4,16,6,0,29,0,122
POA3740,118,108,103,72,64,58,34,73,11,634
POA3741,323,324,259,213,118,133,62,171,32,1632
POA3744,39,66,33,28,16,14,0,24,6,223
POA3746,18,25,34,20,15,10,9,23,6,157
POA3747,412,632,285,307,191,156,85,241,41,2349
POA3749,185,294,118,96,96,67,49,91,9,1001
POA3750,961,2205,1573,1600,1367,851,1277,1128,282,11246
POA3751,14,6,12,3,4,5,3,4,4,58
POA3752,1525,2534,1794,1467,2009,1371,856,1111,274,12943
POA3753,282,346,393,273,338,186,252,219,58,2350
POA3754,2872,5129,3760,3384,3626,2334,1609,2032,460,25205
POA3755,24,20,22,13,14,5,0,7,0,100
POA3756,780,1018,1494,982,1051,667,781,801,172,7744
POA3757,558,633,1008,563,617,368,298,423,79,4548
POA3758,151,144,265,122,155,78,98,100,17,1117
POA3759,107,130,119,67,59,43,14,26,6,578
POA3760,29,48,44,16,39,14,6,15,0,209
POA3761,84,132,97,63,75,32,33,54,19,587
POA3762,18,10,8,3,3,3,4,3,5,62
POA3763,107,127,212,129,81,43,63,71,21,848
POA3764,557,752,868,588,630,372,423,561,116,4875
POA3765,448,683,693,363,478,289,168,281,57,3473
POA3766,101,198,99,65,83,49,25,41,12,664
POA3767,113,201,91,61,65,40,19,36,12,640
POA3770,303,249,392,142,215,132,102,189,39,1765
POA3775,379,347,398,205,264,178,108,185,34,2097
POA3777,703,881,981,658,578,352,313,600,75,5142
POA3778,27,12,15,11,7,10,3,23,0,117
POA3779,33,29,31,28,19,15,7,27,0,196
POA3781,274,362,506,287,293,164,150,249,35,2321
POA3782,599,848,798,444,537,277,227,345,75,4146
POA3783,166,232,258,158,131,81,79,122,28,1255
POA3785,4,8,6,0,4,0,0,3,0,32
POA3786,169,250,109,77,92,50,20,40,14,808
POA3787,106,149,63,61,62,25,10,34,6,527
POA3788,175,234,124,104,95,51,22,69,18,892
POA3789,28,44,10,13,11,12,7,3,5,137
POA3791,125,237,101,77,76,57,17,41,15,744
POA3792,89,169,86,56,57,25,13,40,6,543
POA3793,263,323,369,213,197,119,87,170,32,1763
POA3795,140,109,142,64,90,41,38,56,9,691
POA3796,653,953,1060,621,694,443,289,507,74,5289
POA3797,217,189,339,205,202,124,129,202,46,1655
POA3799,272,355,476,357,263,163,200,334,56,2482
POA3802,1163,2216,1680,1170,1602,1020,933,1101,251,11135
POA3803,423,636,767,510,589,375,539,627,100,4572
POA3804,708,777,702,324,669,420,240,320,123,4277
POA3805,2897,4564,4753,3175,4110,2654,2556,3117,642,28461
POA3806,3617,6079,3515,2717,3670,2485,1397,1925,463,25882
POA3807,578,834,679,423,644,427,212,349,62,4210
POA3808,316,313,310,132,228,152,56,135,30,1680
POA3809,1180,2311,1561,1323,1498,955,696,810,185,10526
POA3810,2609,3938,4312,3373,3234,2436,2593,3142,534,26180
POA3812,212,154,264,131,164,88,98,131,36,1291
POA3813,73,74,116,43,56,46,38,50,6,495
POA3814,201,182,258,107,157,96,90,138,34,1273
POA3815,239,230,373,195,241,125,131,187,55,1779
POA3816,210,167,266,162,159,107,137,212,35,1462
POA3818,960,1209,1345,983,891,673,581,1001,143,7785
POA3820,1091,2020,1337,1211,1120,724,524,1187,134,9342
POA3821,351,314,260,157,167,119,94,162,31,1657
POA3822,95,74,88,59,46,38,42,54,11,508
POA3823,153,154,157,146,94,92,65,113,19,991
POA3824,370,411,382,301,295,189,193,303,34,2488
POA3825,790,1007,1514,1211,1023,731,626,1090,194,8196
POA3831,163,131,142,87,104,57,64,115,13,882
POA3832,31,12,21,11,15,4,8,24,0,124
POA3833,31,15,19,14,12,8,14,15,6,128
POA3835,61,29,31,29,22,16,14,29,0,231
POA3840,525,735,995,834,825,629,508,863,147,6068
POA3842,178,262,264,271,218,201,146,244,28,1816
POA3844,1484,2912,2310,1768,2100,1345,959,1464,276,14599
POA3847,159,117,163,125,95,86,77,125,21,960
POA3850,818,1447,941,1018,691,619,310,697,119,6654
POA3851,464,351,368,267,207,174,138,226,55,2267
POA3852,71,97,0,17,0,0,0,4,3,192
POA3854,119,100,149,85,85,61,79,75,17,768
POA3856,55,70,107,52,62,51,51,64,0,511
POA3857,35,32,30,13,15,14,13,19,6,182
POA3858,242,120,188,143,128,104,130,204,30,1290
POA3859,137,53,69,26,31,15,36,73,13,458
POA3860,377,516,610,434,319,225,286,416,49,3225
POA3862,244,231,296,254,145,121,108,189,32,1619
POA3864,35,6,16,12,7,5,12,19,3,103
POA3865,33,28,44,22,18,18,25,66,7,252
POA3869,100,145,160,115,119,59,81,76,14,871
POA3870,90,99,85,63,59,43,47,60,20,560
POA3871,222,260,188,154,135,94,84,151,31,1306
POA3873,26,16,21,17,12,7,19,21,0,144
POA3874,66,35,35,31,16,25,15,37,6,250
POA3875,1047,1376,1216,1148,937,824,552,1198,177,8481
POA3878,68,102,74,70,62,54,29,54,4,508
POA3880,171,244,194,208,160,143,69,133,29,1355
POA3882,74,85,91,80,75,54,40,81,21,605
POA3885,178,126,139,133,72,45,77,110,22,891
POA3886,32,15,25,16,11,9,25,27,4,161
POA3887,12,13,15,18,6,9,18,14,0,105
POA3888,263,200,124,194,128,102,93,182,25,1314
POA3889,16,3,4,3,3,6,3,0,0,45
POA3890,29,15,6,19,8,0,12,14,6,105
POA3891,17,7,0,0,0,3,0,4,0,38
POA3892,83,82,69,56,42,27,9,86,3,462
POA3893,7,4,0,0,4,0,0,0,0,18
POA3895,44,7,7,8,7,0,9,15,7,98
POA3896,53,33,21,15,11,0,13,15,11,166
POA3898,90,36,42,44,29,14,24,40,7,338
POA3900,32,5,3,10,0,3,3,12,4,73
POA3902,28,13,32,18,13,16,5,22,3,160
POA3903,47,47,52,43,44,21,18,33,18,308
POA3904,138,134,112,110,98,52,28,73,9,756
POA3909,395,423,415,454,296,283,149,448,80,2939
POA3910,1410,2141,2351,1480,1812,1248,692,1163,207,12506
POA3911,236,285,419,213,259,135,114,204,27,1884
POA3912,928,1286,1614,990,1087,738,470,835,133,8095
POA3913,252,309,358,214,225,159,102,204,19,1847
POA3915,504,479,894,601,452,411,298,594,88,4321
POA3916,132,133,74,14,44,28,7,22,7,458
POA3918,237,311,427,273,218,181,130,220,39,2031
