POA_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
POA3580,0,5,3,0,0,3,0,0,0,10,3,7,0,4,3,0,3,6,5,22,21,65,79,29,61,76,22,62,7,419
POA3581,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,10,3,8,5,9,20,4,15,0,66
POA3583,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,8,6,9,12,4,13,0,75
POA3584,3,3,6,6,7,0,5,8,0,32,0,3,0,0,0,0,0,4,7,21,24,77,66,65,92,92,33,71,16,539
POA3585,20,24,25,14,51,44,13,27,0,215,6,26,17,11,58,41,10,19,53,248,253,750,611,438,1124,1187,292,648,99,5406
POA3586,0,0,4,4,0,5,0,4,0,14,0,0,0,0,9,3,0,0,9,22,23,53,53,38,83,78,25,66,8,431
POA3588,0,0,0,0,0,3,0,0,0,7,3,0,0,0,0,3,0,0,4,11,15,20,16,18,33,36,12,10,10,176
POA3589,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,4,0,0,3,12,12,19,18,13,38,44,11,28,5,188
POA3590,0,0,0,0,0,0,0,4,0,5,5,0,3,0,0,0,0,0,0,13,14,23,20,15,22,38,9,16,4,163
POA3591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,13,8,16,13,6,12,0,90
POA3594,0,0,0,0,0,5,0,0,0,12,0,6,0,0,6,0,0,3,3,19,4,42,26,20,60,40,12,33,3,254
POA3595,0,0,0,0,0,3,0,5,0,8,0,0,0,0,0,6,0,0,6,20,7,28,22,24,40,37,16,32,11,217
POA3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,3,3,8,9,0,11,0,48
POA3597,0,0,0,0,3,0,0,0,0,8,0,6,0,0,18,4,0,0,4,26,12,16,21,34,60,44,25,48,8,268
POA3599,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,4,10,0,19,19,8,13,0,64
POA3607,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13,10,7,14,17,0,15,0,79
POA3608,5,9,0,0,0,6,5,0,0,28,6,10,3,5,4,10,0,8,12,55,62,171,126,92,212,287,62,170,26,1207
POA3610,0,4,3,0,4,8,0,4,5,17,0,3,6,4,6,13,4,4,9,44,36,90,86,48,101,134,22,90,21,633
POA3612,0,5,0,0,4,4,0,0,0,19,3,8,0,0,9,14,0,0,5,42,34,108,85,61,104,124,23,90,16,639
POA3614,0,3,5,0,3,9,4,4,0,23,0,0,0,0,5,3,0,0,3,18,30,65,43,37,106,100,27,80,12,491
POA3616,3,26,11,10,17,23,8,7,0,104,9,12,11,4,13,19,10,18,12,99,134,348,309,213,416,563,197,343,40,2561
POA3617,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,12,3,11,9,14,6,20,0,79
POA3618,3,0,0,5,0,0,0,4,0,15,0,0,3,0,3,0,0,4,7,25,14,29,35,26,61,49,14,45,10,290
POA3620,13,31,21,15,28,39,11,25,0,186,10,18,8,12,19,32,9,14,45,166,180,503,436,324,665,684,241,495,124,3653
POA3621,6,6,15,3,6,16,0,9,0,50,0,7,7,5,13,11,3,4,15,71,61,163,117,96,195,208,70,171,42,1128
POA3622,0,0,0,0,0,6,0,0,0,6,0,4,0,4,0,0,0,0,3,11,8,39,30,13,42,53,9,48,8,267
POA3623,0,0,0,0,3,5,0,0,0,14,0,0,0,0,3,0,0,6,3,19,30,48,48,33,55,69,40,68,11,403
POA3624,0,0,0,0,7,0,0,0,0,6,0,4,0,0,0,0,0,0,3,10,12,31,25,14,40,27,14,57,5,225
