POA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
POA3542,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,21,4,21
POA3544,0,6,0,0,0,4,0,0,6,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,24,0,56
POA3546,5,5,3,3,0,14,0,0,5,4,5,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,8,25,18,45,13,105
POA3549,9,25,8,15,0,58,4,0,20,5,21,0,61,0,4,0,0,3,0,7,0,0,4,4,23,4,28,0,0,7,8,17,25,58,26,21,153,111,283,106,702
POA3550,261,743,160,203,24,1695,575,336,1366,587,699,80,3641,14,7,59,30,47,8,164,32,19,76,94,293,10,531,24,17,67,47,140,57,351,1378,915,4228,2101,4593,357,13563
POA3551,235,679,176,209,19,1480,290,287,1002,481,622,77,2757,11,7,54,24,55,3,155,12,10,66,77,361,7,533,8,7,46,34,181,35,316,762,806,3346,1938,5145,331,12333
POA3555,96,260,66,113,8,609,147,106,409,281,432,32,1409,3,6,16,12,31,4,74,13,0,28,58,162,3,273,3,6,19,18,104,30,182,377,291,1364,999,2683,195,5899
POA3556,48,147,53,81,13,376,77,68,231,208,343,32,958,0,3,8,18,29,6,58,4,5,9,21,133,3,173,0,3,15,21,89,28,155,170,165,691,604,2004,159,3803
POA3557,7,17,0,12,0,33,0,3,13,12,24,0,46,0,0,0,0,0,0,0,0,0,0,3,9,0,18,0,0,0,0,8,0,8,8,13,60,47,154,7,283
POA3558,4,9,0,4,0,21,6,9,7,10,11,0,34,0,0,0,0,0,0,0,0,0,4,0,9,0,12,0,0,0,0,6,3,8,12,13,30,21,122,10,210
POA3559,3,9,4,0,0,17,3,0,9,3,9,3,26,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,5,3,9,32,23,62,15,144
POA3561,16,52,8,17,3,111,5,20,58,43,94,9,225,0,0,0,3,5,0,7,6,0,0,7,43,3,61,0,0,0,3,23,10,42,39,41,207,170,620,67,1134
POA3562,0,4,0,0,0,4,0,0,0,0,9,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,5,0,4,0,4,16,10,54,7,90
POA3563,0,8,0,3,0,20,0,0,6,6,16,3,32,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,3,0,5,5,5,35,32,119,13,199
POA3564,60,239,55,86,7,507,93,93,342,207,350,46,1139,6,0,20,20,40,0,88,6,3,23,32,176,8,242,4,5,13,13,85,25,144,236,217,1133,798,2483,177,5047
