POA_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
POA3089,2426,1781,1401,1618,1910,1729,1069,445,125,12503
POA3090,429,426,180,264,464,380,209,117,107,2575
POA3091,234,268,114,141,281,271,174,99,21,1602
POA3093,659,431,378,483,584,513,466,303,150,3962
POA3094,1852,865,921,1399,1297,1118,1078,570,148,9250
POA3095,5373,3596,2281,3491,4433,4172,3297,1356,366,28373
POA3096,324,280,221,195,270,296,166,108,57,1911
POA3097,256,232,115,161,249,240,183,80,13,1536
POA3099,935,616,444,574,735,800,602,247,46,4993
POA3101,3705,3463,3169,2829,3436,3154,2468,1491,786,24499
POA3102,1192,916,664,817,978,891,618,383,163,6620
POA3103,2487,2158,1535,1915,2175,1944,1649,1132,624,15621
POA3104,3794,3354,1834,2292,3385,2912,1909,1209,622,21302
POA3105,1604,1279,1235,1332,1533,1449,1104,1077,512,11124
POA3106,2618,1939,1571,2010,2112,2459,2113,1447,696,16966
POA3107,2375,1521,1358,1801,2048,1622,1397,1424,613,14164
POA3108,3491,2857,3891,3495,2941,2862,2446,2074,993,25054
POA3109,5585,3333,3366,4587,3857,3713,3120,2382,989,30926
POA3111,2084,1532,1059,1526,1816,1648,1357,1040,584,12644
