POA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA3109,4316,160,58,29,3,0,4,4569
POA3111,1699,82,16,15,0,0,6,1818
POA3113,1248,84,29,10,0,0,3,1376
POA3114,594,19,9,3,0,0,0,638
POA3115,547,31,11,6,0,0,0,602
POA3116,1479,109,64,11,0,0,4,1672
POA3121,1969,114,22,7,0,0,3,2128
POA3122,1922,94,21,9,0,0,3,2045
POA3123,1522,55,30,3,0,0,6,1617
POA3124,2729,116,33,12,3,0,4,2900
POA3125,1439,58,18,6,0,0,0,1531
POA3126,1013,43,10,3,0,0,0,1070
POA3127,2434,110,32,10,0,0,5,2587
POA3128,2071,105,26,10,0,0,4,2224
POA3129,2252,102,38,12,0,0,11,2416
POA3130,4326,160,61,13,3,0,5,4567
POA3131,2843,109,28,16,0,0,4,3009
POA3132,2136,97,31,14,0,0,0,2290
POA3133,3135,141,49,17,4,0,9,3347
POA3134,4249,244,98,24,3,0,13,4628
POA3135,2658,127,48,14,3,0,4,2856
POA3136,5325,368,158,38,0,0,12,5903
POA3137,1631,123,72,8,0,0,8,1845
POA3138,2745,246,109,34,5,0,11,3149
POA3139,1675,158,89,12,0,4,11,1942
POA3140,1934,177,71,15,0,0,0,2198
POA3141,1077,82,9,4,0,0,3,1175
POA3142,1061,54,19,3,0,0,0,1140
POA3143,753,40,10,0,0,0,0,804
POA3144,1172,68,21,0,0,0,0,1258
POA3145,2833,103,20,5,0,0,4,2967
POA3146,3468,111,52,7,0,0,4,3636
POA3147,1982,82,37,6,0,0,3,2110
POA3148,1033,56,16,9,0,0,0,1110
POA3149,4859,183,67,23,0,0,9,5139
POA3150,8503,293,101,70,0,0,11,8990
POA3151,1270,63,16,8,0,0,0,1355
POA3152,4678,268,89,34,4,0,7,5078
POA3153,2267,161,71,17,0,0,4,2524
POA3154,545,33,22,3,0,0,6,610
POA3155,2392,208,82,29,3,0,10,2720
POA3156,4782,309,156,34,7,3,13,5306
POA3158,897,63,29,3,0,0,0,986
POA3159,341,28,8,3,0,0,0,385
POA3160,1120,74,45,7,0,0,5,1255
POA3161,1704,78,19,0,0,0,0,1805
POA3162,2216,106,25,7,0,0,0,2352
