POA_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
POA3779,58,77,33,6,297
POA3781,391,202,52,14,2321
POA3782,774,563,221,52,4223
POA3783,246,151,71,6,1335
POA3785,8,10,0,0,39
POA3786,192,135,49,9,910
POA3787,112,104,29,6,556
POA3788,205,175,56,8,1061
POA3789,35,33,16,3,184
POA3791,163,170,66,5,855
POA3792,119,110,33,5,593
POA3793,284,246,93,24,1872
POA3795,105,64,31,5,630
POA3796,776,519,244,31,4934
POA3797,307,285,123,34,1812
POA3799,589,447,194,49,3063
POA3802,1975,1343,427,123,11769
POA3803,681,452,221,121,4844
POA3804,796,466,183,85,4102
POA3805,3723,1695,668,168,26160
POA3806,3603,2099,1127,401,25573
POA3807,627,307,140,34,3761
POA3808,341,204,75,19,1647
POA3809,788,524,151,14,10100
POA3810,2500,1682,1019,386,25527
POA3812,245,160,37,18,1249
POA3813,115,45,29,3,507
POA3814,219,145,76,13,1234
POA3815,293,167,121,34,1739
POA3816,254,152,78,14,1494
POA3818,1258,1111,536,139,8175
POA3820,1576,1248,688,214,10135
POA3821,374,253,85,12,1657
POA3822,90,57,22,0,483
POA3823,206,199,57,12,1049
POA3824,382,393,184,78,2598
POA3825,1706,1376,678,225,9683
POA3831,209,197,85,26,1062
POA3832,31,20,9,0,118
POA3833,55,38,18,0,190
POA3835,42,36,5,0,209
POA3840,1363,1006,495,252,7685
POA3842,379,303,145,20,2248
POA3844,2384,1748,888,336,15215
POA3847,191,155,70,12,1105
POA3850,1129,944,486,217,7468
POA3851,612,517,158,26,2841
POA3852,3,0,0,0,156
POA3854,142,77,36,5,731
POA3856,106,75,8,0,521
POA3857,34,37,6,3,186
POA3858,240,244,108,41,1437
POA3859,93,58,35,4,453
POA3860,653,549,212,53,3533
POA3862,310,277,94,12,1755
POA3864,31,26,9,0,116
POA3865,46,34,18,4,227
POA3869,196,138,49,13,909
POA3870,192,115,47,5,732
POA3871,310,279,101,30,1574
POA3873,37,27,4,0,163
POA3874,68,72,24,4,303
POA3875,1646,1508,829,293,9487
POA3878,171,171,67,23,721
POA3880,477,666,384,98,2309
POA3882,136,101,50,15,634
POA3885,195,141,54,16,948
POA3886,32,33,19,3,194
POA3887,36,26,12,0,148
POA3888,394,324,163,45,1680
POA3889,24,41,13,4,102
POA3890,44,17,13,3,158
POA3891,19,17,8,0,68
POA3892,167,172,80,21,694
POA3893,3,6,0,0,20
POA3895,20,15,10,7,97
POA3896,38,24,14,0,171
POA3898,79,70,28,9,413
POA3900,14,22,9,5,82
POA3902,43,47,28,3,214
POA3903,70,87,42,4,431
POA3904,283,327,125,19,1119
POA3909,793,967,471,115,4298
